"V1","V5","V6","V7","V8"
2.586,673,676.2589,166601.6,547.2141
2.587,673,676.2654,166629.7,547.2775
2.588,673,676.2719,166657.7,547.3409
2.589,673,676.2785,166685.8,547.4043
2.59,673,676.285,166713.9,547.4677
2.591,673,676.2916,166742,547.5312
2.592,673,676.2981,166770.2,547.5947
2.593,673,676.3047,166798.4,547.6583
2.594,673,676.3112,166826.5,547.7219
2.595,673,676.3178,166854.8,547.7855
2.596,673,676.3244,166883,547.8491
2.597,673,676.3309,166911.3,547.9128
2.598,673,676.3375,166939.5,547.9765
2.599,673,676.3441,166967.9,548.0402
2.6,673,676.3507,166996.2,548.104
2.601,673,676.3573,167024.5,548.1678
2.602,673,676.3639,167052.9,548.2316
2.603,673,676.3705,167081.3,548.2954
2.604,673,676.3771,167109.7,548.3593
2.605,673,676.3837,167138.1,548.4232
2.606,673,676.3903,167166.6,548.4871
2.607,673,676.3969,167195.1,548.5511
2.608,673,676.4035,167223.6,548.6151
2.609,673,676.4102,167252.1,548.6791
2.61,673,676.4168,167280.6,548.7431
2.611,673,676.4234,167309.2,548.8072
2.612,673,676.4301,167337.8,548.8713
2.613,673,676.4367,167366.4,548.9354
2.614,673,676.4434,167395.1,548.9996
2.615,673,676.45,167423.7,549.0638
2.616,673,676.4567,167452.4,549.128
2.617,673,676.4633,167481.1,549.1922
2.618,673,676.47,167509.8,549.2565
2.619,673,676.4766,167538.6,549.3208
2.62,673,676.4833,167567.4,549.3852
2.621,673,676.49,167596.2,549.4496
2.622,673,676.4967,167625,549.514
2.623,673,676.5034,167653.8,549.5784
2.624,673,676.51,167682.7,549.6429
2.625,673,676.5167,167711.6,549.7074
2.626,673,676.5234,167740.5,549.7719
2.627,673,676.5301,167769.5,549.8365
2.628,673,676.5368,167798.4,549.9011
2.629,673,676.5436,167827.4,549.9657
2.63,673,676.5503,167856.4,550.0303
2.631,673,676.557,167885.4,550.095
2.632,673,676.5637,167914.5,550.1597
2.633,673,676.5704,167943.6,550.2244
2.634,673,676.5772,167972.7,550.2892
